Date,Open,High,Low,Close,Adj Close,Volume
17-10-2024,221.5899963,222.0800018,217.8999939,220.8899994,220.8899994,50791800
18-10-2024,220.7100067,222.2799988,219.2299957,220.6999969,220.6999969,49611900
21-10-2024,218.8999939,220.4799957,215.7299957,218.8500061,218.8500061,47329000
22-10-2024,217.3099976,218.2200012,215.2599945,217.9700012,217.9700012,43268700
23-10-2024,217.1300049,218.7200012,212.1100006,213.6499939,213.6499939,80938900
24-10-2024,244.6799927,262.1199951,242.6499939,260.480011,260.480011,204491900
25-10-2024,256.0100098,269.4899902,255.3200073,269.1900024,269.1900024,161611900
28-10-2024,270,273.5400085,262.2399902,262.5100098,262.5100098,107653600
29-10-2024,264.5100098,264.980011,255.5099945,259.519989,259.519989,80521800
30-10-2024,258.0400085,263.3500061,255.8200073,257.5499878,257.5499878,53993600
31-10-2024,257.9899902,259.75,249.25,249.8500061,249.8500061,66575300
01-11-2024,252.0399933,254,246.6300049,248.9799957,248.9799957,57544800
04-11-2024,244.5599976,248.8999939,238.8800049,242.8399963,242.8399963,68802400
05-11-2024,247.3399963,255.2799988,246.2100067,251.4400024,251.4400024,69282500
06-11-2024,284.6700134,289.5899963,275.6199951,288.5299988,288.5299988,165228700
07-11-2024,288.8900146,299.75,285.519989,296.9100037,296.9100037,117309200
08-11-2024,299.1400146,328.7099915,297.6600037,321.2200012,321.2200012,204782800
11-11-2024,346.2999878,358.6400146,336,350,350,210521600
12-11-2024,342.7399902,345.8399963,323.3099976,328.4899902,328.4899902,155726000
13-11-2024,335.8500061,344.6000061,322.5,330.2399902,330.2399902,125405600
14-11-2024,327.6900024,329.980011,310.3699951,311.1799927,311.1799927,120726100
15-11-2024,310.5700073,324.6799927,309.2200012,320.7200012,320.7200012,114440300
18-11-2024,340.730011,348.5499878,330.0100098,338.7399902,338.7399902,126547500
19-11-2024,335.7600098,347.3800049,332.75,346,346,88852500
20-11-2024,345,346.6000061,334.2999878,342.0299988,342.0299988,66340700
21-11-2024,343.8099976,347.9899902,335.2799988,339.6400146,339.6400146,58011700
22-11-2024,341.0899963,361.5299988,337.7000122,352.5599976,352.5599976,89140700
25-11-2024,360.1400146,361.9299927,338.2000122,338.5899963,338.5899963,95890900
26-11-2024,341,346.9599915,335.6600037,338.230011,338.230011,62295900
27-11-2024,341.7999878,342.5499878,326.5899963,332.8900146,332.8900146,57896400
29-11-2024,336.0799866,345.4500122,334.6499939,345.1600037,345.1600037,37167600
02-12-2024,352.3800049,360,351.1499939,357.0899963,357.0899963,77986500
03-12-2024,351.7999878,355.6900024,348.2000122,351.4200134,351.4200134,58267200
04-12-2024,353,358.1000061,348.6000061,357.9299927,357.9299927,50810900
05-12-2024,359.8699951,375.4299927,359.5,369.4899902,369.4899902,81403600
06-12-2024,377.4200134,389.4899902,370.7999878,389.2200012,389.2200012,81455800
09-12-2024,397.6099854,404.7999878,378.0100098,389.7900085,389.7900085,96359200
10-12-2024,392.6799927,409.730011,390.8500061,400.9899902,400.9899902,97563600
11-12-2024,409.7000122,424.8800049,402.3800049,424.769989,424.769989,104287600
12-12-2024,424.8399963,429.2999878,415,418.1000061,418.1000061,87752200
13-12-2024,420,436.2999878,415.7099915,436.230011,436.230011,89000200
16-12-2024,441.0899963,463.1900024,436.1499939,463.019989,463.019989,114083800
17-12-2024,475.8999939,483.9899902,457.5100098,479.8599854,479.8599854,131223000
18-12-2024,466.5,488.5400085,427.0100098,440.1300049,440.1300049,149340800
19-12-2024,451.8800049,456.3599854,420.019989,436.1700134,436.1700134,118566100
20-12-2024,425.5100098,447.0799866,417.6400146,421.0599976,421.0599976,132216200
23-12-2024,431,434.5100098,415.4100037,430.6000061,430.6000061,72698100
24-12-2024,435.8999939,462.7799988,435.1400146,462.2799988,462.2799988,59551800
26-12-2024,465.1600037,465.3299866,451.019989,454.1300049,454.1300049,76366400
27-12-2024,449.519989,450,426.5,431.6600037,431.6600037,82666800
30-12-2024,419.3999939,427,415.75,417.4100037,417.4100037,64941000
31-12-2024,423.7900085,427.9299927,402.5400085,403.8399963,403.8399963,76825100
02-01-2025,390.1000061,392.730011,373.0400085,379.2799988,379.2799988,109710700
03-01-2025,381.480011,411.8800049,379.4500122,410.4400024,410.4400024,95423300
06-01-2025,423.2000122,426.4299927,401.7000122,411.0499878,411.0499878,85516500
07-01-2025,405.8299866,414.3299866,390,394.3599854,394.3599854,75699500
08-01-2025,392.9500122,402.5,387.3999939,394.9400024,394.9400024,73038800
10-01-2025,391.3999939,399.2799988,377.2900085,394.7399902,394.7399902,62287300
13-01-2025,383.2099915,403.7900085,380.0700073,403.3099976,403.3099976,67580500
14-01-2025,414.3399963,422.6400146,394.5400085,396.3599854,396.3599854,84565000
15-01-2025,409.8999939,429.7999878,405.6600037,428.2200012,428.2200012,81375500
16-01-2025,423.4899902,424,409.1300049,413.8200073,413.8200073,68335200
17-01-2025,421.5,439.7399902,419.75,426.5,426.5,94991400
21-01-2025,432.6400146,433.2000122,406.3099976,424.0700073,424.0700073,87320900
22-01-2025,416.8099976,428,414.5899963,415.1099854,415.1099854,60963300
23-01-2025,416.0599976,420.730011,408.9500122,412.3800049,412.3800049,50690600
24-01-2025,414.4500122,418.8800049,405.7799988,406.5799866,406.5799866,56427100
27-01-2025,394.7999878,406.6900024,389,397.1499939,397.1499939,58125500
28-01-2025,396.9100037,400.5899963,386.5,398.0899963,398.0899963,48910700
29-01-2025,395.2099915,398.5899963,384.480011,389.1000061,389.1000061,68033600
30-01-2025,410.7799988,412.5,384.4100037,400.2799988,400.2799988,98092900
31-01-2025,401.5299988,419.9899902,401.3399963,404.6000061,404.6000061,83568200
03-02-2025,386.6799927,389.1700134,374.3599854,383.6799927,383.6799927,93732100
04-02-2025,382.6300049,394,381.3999939,392.2099915,392.2099915,57072200
05-02-2025,387.5100098,388.3900146,375.5299988,378.1700134,378.1700134,57223300
06-02-2025,373.0299988,375.3999939,363.1799927,374.3200073,374.3200073,77918200
07-02-2025,370.1900024,380.5499878,360.3399963,361.6199951,361.6199951,70298300
10-02-2025,356.2099915,362.7000122,350.5100098,350.730011,350.730011,77514900
11-02-2025,345.7999878,349.3699951,325.1000061,328.5,328.5,118543400
12-02-2025,329.9400024,346.3999939,329.1199951,336.5100098,336.5100098,104520600
